x_Al_target,branch,x_Al,V,Vstd,a,astd,Ef,G,Gstd,Omega_total_eV,n_atoms,n_sites,n,n_total,alpha_mean,alpha_std
0.48,antisite,0.476562,11.931899824155975,0.0017378453584707305,2.879032256507261,0.00013977805118643743,-0.6780291586959551,-0.6885779052867607,0.0004526701708312192,-88.13797187670536,128,128,3,3,,
0.48,vacancy,0.479675,12.240495526670985,0.0063454964249387204,2.8653303747997825,0.0004951713170145192,-0.6472267191800262,-0.6635803527655828,0.0017993097300413041,-81.62038339016668,123,128,3,3,,
0.49,antisite,0.492188,11.946560374963425,8.283938751216114e-13,2.8802109200403287,6.606414735503971e-14,-0.6876297365556603,-0.6917539618126352,5.20740757162067e-16,-88.5445071120173,128,128,3,3,,
0.49,vacancy,0.488,12.141968504545307,0.0008831715170586502,2.8730270402352884,6.965907775263723e-05,-0.6676017560048633,-0.6784036725138481,0.000326714170970451,-84.800459064231,125,128,4,6,,
0.5,vacancy,0.5,11.974527545032217,0.0,2.882456714930723,0.0,-0.6920193068237968,-0.6920193068237968,0.0,-88.57847127344598,128,128,1,1,,
0.51,antisite,0.507812,12.023251845678487,4.326513913973737e-13,2.886360992170791,3.433875125975182e-14,-0.679512586274579,-0.6836368115315539,1.3597399555105183e-15,-87.5055118760389,128,128,3,3,,
0.51,vacancy,0.512,12.206308422789965,0.001380053096770363,2.8780927955445867,0.00010846399721892546,-0.6830752335155794,-0.6938771500245641,6.168953284024375e-05,-86.73464375307053,125,128,3,3,,
0.52,antisite,0.523438,12.131862618920414,0.0008983610864796679,2.895026163360263,7.145926904834359e-05,-0.6542206608799152,-0.6647694074707206,0.00043521306119332287,-85.09048415625223,128,128,3,3,,
0.52,vacancy,0.520325,12.350287687905706,0.0016990029146335306,2.8738718820498135,0.00013178167987088114,-0.675564608512946,-0.6919182420985027,0.0012682079209013545,-85.10594377811583,123,128,3,3,,
0.53,antisite,0.53125,12.190583183557473,0.0020640725919484123,2.8996894717758477,0.00016365112723903965,-0.6408866755914996,-0.65413729654999,0.0010497551508519205,-83.72957395839872,128,128,3,3,,
0.53,vacancy,0.528926,12.505403060512405,0.0024820285699014848,2.8701264357811183,0.00018989114709221718,-0.6690163110725607,-0.6902563357822032,0.0012993548835014447,-83.52101662964661,121,128,3,3,,
0.54,antisite,0.539062,12.247594790923545,0.0021145897492724735,2.9042027616118333,0.0001671393446458052,-0.6275278365477908,-0.6432426563214116,0.0007038537116813221,-82.33506000914069,128,128,3,3,,
0.54,vacancy,0.537815,12.660533368770006,0.004614474501153242,2.865978923585827,0.00034819873741346094,-0.656473828429661,-0.6821153471817071,0.002590832990315319,-81.17172631462314,119,128,3,3,,
0.542373,vacancy,0.542373,12.741894037812926,0.0015373673284803612,2.86403732604686,0.00011518378346330321,-0.6571879443842595,-0.6848805720521726,0.0032738010743473497,-80.81590750215636,118,128,3,3,-0.10067487125115593,0.07055830440260298
0.547009,vacancy,0.547009,12.830934666714805,0.012804413821217199,2.8625606375432384,0.0009521390436019045,-0.6510105015569377,-0.680665990818568,0.0020518777213782233,-79.63792092577248,117,128,3,3,-0.12677298445669988,0.07260582917433275
0.551724,vacancy,0.551724,12.906994751324085,0.009320362815641718,2.8600109734289276,0.0006884379386767933,-0.6473979946593956,-0.6789345215995563,0.0027190374433686522,-78.75640450554852,116,128,3,3,-0.08953027941858042,0.0951121798427729
0.556522,vacancy,0.556522,12.997446863026852,0.004535628055947754,2.8584151283944323,0.0003324719576099004,-0.6409505310318407,-0.6742914359827646,0.0021774814931718196,-77.54351513801792,115,128,3,3,-0.04498724619936743,0.029668311848040446
0.56,antisite,0.5625,12.433943236325513,0.01331635835766408,2.9188576932541803,0.0010417884235363508,-0.5893732051625117,-0.6113989121119542,0.0019574471096491072,-78.25906075033014,128,128,3,3,,
0.56,vacancy,0.561404,13.08921001438155,0.013352099171665754,2.8567971524982845,0.0009712033983152406,-0.6384614594475377,-0.6735342615589611,0.002224693648481947,-76.78290581772156,114,128,3,3,,
0.58,antisite,0.578125,12.584243956365057,0.012796080522987242,2.930571633741136,0.0009934953214997167,-0.5606018600527283,-0.5861310011840856,0.005984506857643953,-75.02476815156295,128,128,3,3,,
0.58,vacancy,0.581818,13.449308722977833,0.01004748452299971,2.8486398147068557,0.0007093655104648185,-0.6128371819416718,-0.6541714931795138,0.0035779907375475557,-71.95886424974653,110,128,3,3,,
0.6,antisite,0.601562,12.815046558635759,0.033776179124164495,2.948378063697941,0.0025893874960678256,-0.5303616489807704,-0.5603163682726161,0.002227956003781041,-71.72049513889486,128,128,3,3,,
