x_Al_target,x_Al,branch,seed,defect_kind,n_defect,E_perfect_eV,E_defect_eV,deltaE_per_defect_eV,dE_total_eV,dNi,dAl,n_atoms,n_sites
0.41,0.407407,vacancy,1,Al_vacancy,20,-694.0398846214761,-581.1212733866682,1.9174933645732275,112.91861123480783,0,-20,108,128
0.41,0.407407,vacancy,2,Al_vacancy,20,-694.0398846214761,-582.6941577482467,1.8388491464943066,111.34572687322941,0,-20,108,128
0.43,0.428571,vacancy,0,Al_vacancy,16,-694.0398846214761,-603.5092324000117,1.9297285666743598,90.53065222146438,0,-16,112,128
0.43,0.428571,vacancy,1,Al_vacancy,16,-694.0398846214761,-604.0445299490787,1.8962724698576743,89.99535467239741,0,-16,112,128
0.43,0.428571,vacancy,2,Al_vacancy,16,-694.0398846214761,-603.803857557043,1.9113144943599032,90.23602706443307,0,-16,112,128
0.45,0.448276,vacancy,0,Al_vacancy,12,-694.0398846214761,-626.6112350335509,1.8906169351599342,67.42864958792518,0,-12,116,128
0.45,0.448276,vacancy,1,Al_vacancy,12,-694.0398846214761,-626.0697171912284,1.935743422020142,67.97016743024767,0,-12,116,128
0.45,0.448276,vacancy,2,Al_vacancy,12,-694.0398846214761,-625.9840680519883,1.9428808502901507,68.05581656948777,0,-12,116,128
0.47,0.471074,vacancy,0,Al_vacancy,7,-694.0398846214761,-654.7275016558824,1.8876175122033583,39.312382965593656,0,-7,121,128
0.47,0.471074,vacancy,1,Al_vacancy,7,-694.0398846214761,-655.2882254383148,1.8075141147130107,38.75165918316122,0,-7,121,128
