material_id,formula,element_A,element_B,count_A,count_B,lattice_constant,energy_per_atom,energy_above_hull,source,structure_type
mp-1186601,PmGd3,Pm,Gd,1.0,3.0,5.19581107,-39.843104,0.089803090625011,MP,L1$_2$
mp-1186348,NdGd3,Nd,Gd,1.0,3.0,5.2035737300000005,-39.8089589325,0.09329728812500801,MP,L1$_2$
mp-861931,LiPt3,Li,Pt,1.0,3.0,3.85327292,-39.69389888,0.0,MP,L1$_2$
mp-1184578,Ho3Bi,Ho,Bi,3.0,1.0,4.850483,-39.68834072666667,0.128994580208335,MP,L1$_2$
mp-11536,NpRh3,Np,Rh,1.0,3.0,4.01334177,-39.42137035,0.0,MP,L1$_2$
mp-1263,URu3,U,Ru,1.0,3.0,3.971163879999999,-39.4077992525,0.0,MP,L1$_2$
mp-971803,ZnHg3,Zn,Hg,1.0,3.0,4.563231,-39.125410834375,0.128094708749998,MP,L1$_2$
mp-1184564,Hf3Ag,Hf,Ag,3.0,1.0,4.371479,-39.104735915000006,0.18299380749999702,MP,L1$_2$
mp-1184068,Dy3Bi,Dy,Bi,3.0,1.0,4.865561,-39.042123814375,0.11786332583332601,MP,L1$_2$
mp-11248,LiAu3,Li,Au,1.0,3.0,4.02832705,-38.9171240675,0.0,MP,L1$_2$
mp-1184545,HPt3,H,Pt,1.0,3.0,3.817922,-38.9119981915625,0.567567583749998,MP,L1$_2$
mp-1187636,Tm3Hg,Tm,Hg,3.0,1.0,4.743084,-38.87282983583333,0.092455349166669,MP,L1$_2$
mp-1150,URh3,U,Rh,1.0,3.0,3.99671969,-38.7983576,0.0,MP,L1$_2$
mp-1185041,KHg3,K,Hg,1.0,3.0,4.94070216,-38.74201071,0.040811829166656,MP,L1$_2$
mp-2375,NpPd3,Np,Pd,1.0,3.0,4.14004214,-38.7111744975,0.008822396250003,MP,L1$_2$
mp-1185237,LiW3,Li,W,1.0,3.0,3.934214,-38.62781916916667,0.49470321916666604,MP,L1$_2$
mp-1184479,Gd3In,Gd,In,3.0,1.0,4.89018364,-38.573882185,0.0,MP,L1$_2$
mp-973777,Hg3F,Hg,F,3.0,1.0,4.421456,-38.29569702249999,0.16869885625000303,MP,L1$_2$
mp-30825,PaRh3,Pa,Rh,1.0,3.0,4.03072325,-38.2545690025,0.0,MP,L1$_2$
mp-1186137,NaHg3,Na,Hg,1.0,3.0,4.6406287299999995,-38.1108605175,0.018782196249999,MP,L1$_2$
mp-973450,Hg3C,Hg,C,3.0,1.0,4.282168,-37.9897213475,1.522942341875001,MP,L1$_2$
mp-1184154,Er3Hg,Er,Hg,3.0,1.0,4.769467,-37.973705433333336,0.094196477499998,MP,L1$_2$
mp-976599,LiHg3,Li,Hg,1.0,3.0,4.42729552,-37.79389561,0.029448351250003002,MP,L1$_2$
mp-1184547,Hf3Se,Hf,Se,3.0,1.0,4.338481,-37.6378733,0.506448290000001,MP,L1$_2$
