dir,status,volume_returncode,relax_returncode,static_returncode,energy_source,energy_eV,free_energy_TOTEN_eV,lattice_type,atoms_per_cubic_cell,natoms,volume_A3,a_lattice_A,a_bcc_A,cell_a_A,cell_b_A,cell_c_A,relax_converged,note,structure_root,case_dir
Mg4V12,OK,0,0,0,static_OUTCAR,-109.7436958300,-109.7442026700,bcc,2.0,16,236.24029485,3.09092165,3.09092165,6.18184330,6.18184330,6.18184330,yes,CLEANED:0,BCC_SQS,Mg4V12
Mg4W12,OK,0,0,0,static_OUTCAR,-156.4498650100,-156.4507292800,bcc,2.0,16,261.61604265,3.19785029,3.19785029,6.39570058,6.39570058,6.39570058,yes,CLEANED:0,BCC_SQS,Mg4W12
Mg4Y12,OK,0,0,0,static_OUTCAR,-82.5454613800,-82.5423786800,bcc,2.0,16,486.10245167,3.93138831,3.93138831,7.86277661,7.86277661,7.86277661,yes,CLEANED:0,BCC_SQS,Mg4Y12
Mg4Zn12,OK,0,0,0,static_OUTCAR,-19.0684851600,-19.0685420400,bcc,2.0,16,268.46066656,3.22549886,3.22549886,6.45099771,6.45099771,6.45099771,yes,CLEANED:0,BCC_SQS,Mg4Zn12
Mg4Zr12,OK,0,0,0,static_OUTCAR,-106.7952994000,-106.7951795300,bcc,2.0,16,362.09784937,3.56378903,3.56378903,7.12757805,7.12757805,7.12757805,yes,CLEANED:0,BCC_SQS,Mg4Zr12
Mg8Mg8,OK,0,0,0,static_OUTCAR,-23.6406923900,-23.6427009600,bcc,2.0,16,366.54400000,3.57831616,3.57831616,7.15663231,7.15663231,7.15663231,yes,CLEANED:0,BCC_SQS,Mg8Mg8
Mg8Mn8,OK,0,0,0,static_OUTCAR,-78.7059303500,-78.7057946900,bcc,2.0,16,280.03402389,3.27119880,3.27119880,6.54239760,6.54239760,6.54239760,yes,CLEANED:0,BCC_SQS,Mg8Mn8
Mg8Mo8,OK,0,0,0,static_OUTCAR,-93.7418591600,-93.7417206300,bcc,2.0,16,270.41851752,3.23332093,3.23332093,6.46664186,6.46664186,6.46664186,yes,CLEANED:0,BCC_SQS,Mg8Mo8
Mg8Nb8,OK,0,0,0,static_OUTCAR,-88.8593373300,-88.8593599000,bcc,2.0,16,304.44855277,3.36362813,3.36362813,6.72725626,6.72725626,6.72725626,yes,CLEANED:0,BCC_SQS,Mg8Nb8
Mg8Ni8,OK,0,0,0,static_OUTCAR,-55.5518138300,-55.5515760300,bcc,2.0,16,270.79999999,3.23484064,3.23484064,6.46968129,6.46968129,6.46968129,yes,CLEANED:0,BCC_SQS,Mg8Ni8
Mg8Os8,OK,0,0,0,static_OUTCAR,-96.7304029300,-96.7305415400,bcc,2.0,16,293.48000001,3.32273858,3.32273858,6.64547717,6.64547717,6.64547717,yes,CLEANED:0,BCC_SQS,Mg8Os8
Mg8Pb8,OK,0,0,0,static_OUTCAR,-40.3113073800,-40.3120915700,bcc,2.0,16,443.41615843,3.81276914,3.81276914,7.62553827,7.62553827,7.62553827,no,CLEANED:0,BCC_SQS,Mg8Pb8
Mg8Pd8,OK,0,0,0,static_OUTCAR,-61.3075969400,-61.3079637400,bcc,2.0,16,266.58385687,3.21796478,3.21796478,6.43592956,6.43592956,6.43592956,yes,CLEANED:0,BCC_SQS,Mg8Pd8
Mg8Pt8,OK,0,0,0,static_OUTCAR,-69.0683736700,-69.0702285900,bcc,2.0,16,305.02400000,3.36574603,3.36574603,6.73149205,6.73149205,6.73149205,yes,CLEANED:0,BCC_SQS,Mg8Pt8
Mg8Re8,OK,0,0,0,static_OUTCAR,-105.5918420100,-105.5922932000,bcc,2.0,16,254.16772445,3.16720960,3.16720960,6.33441919,6.33441919,6.33441919,yes,CLEANED:0,BCC_SQS,Mg8Re8
Mg8Rh8,OK,0,0,0,static_OUTCAR,-73.7557426000,-73.7568131300,bcc,2.0,16,250.19559283,3.15062385,3.15062385,6.30124770,6.30124770,6.30124770,yes,CLEANED:0,BCC_SQS,Mg8Rh8
