structure,element_A,element_B,selected_source,available_sources,n_entries,a_mean,a_cv,Omega_sf_King
B2,Ir,V,OQMD,OQMD,1,3.043149,,0.00725
B2,Ir,W,OQMD,OQMD,1,3.151522,,0.0432
B2,Ir,Y,MP,MP+OQMD,1,3.416334,,-0.154746
B2,Ir,Zn,OQMD,OQMD,1,3.035508,,-0.047405
B2,Ir,Zr,MP,MP+OQMD,1,3.31733,,-0.024786
B2,La,Mg,MP,MP+OQMD+VASP,1,3.977517,,0.041698
B2,La,Mn,OQMD,OQMD+VASP,1,3.669593,,0.000738
B2,La,Mo,OQMD,OQMD+VASP,1,3.635489,,-0.089127
B2,La,Nb,OQMD,OQMD+VASP,1,3.684169,,-0.093214
B2,La,Ni,OQMD,OQMD+VASP,1,3.539862,,-0.077996
