Alloy,No,S_Phase,Phase,a (Å),delta,Tm (K),Hmix (kJ/mol),Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus (GPa)
Au2Pb,2,IM,IM,1.56133333333333,0.108088910189916,1091.75666666667,1.77777777777778,2.47,0.0989949493661166,8.66666666666667,3.29983164553722,162.0
AuPb2,2,IM,IM,1.68066666666667,0.100414211687737,846.183333333333,1.77777777777778,2.4,0.0989949493661166,6.33333333333333,3.29983164553722,104.0
AuPb3,2,IM,IM,1.7105,0.0906276219102102,784.79,1.5,2.3825,0.0909326673973661,5.75,3.03108891324554,89.5
AuSb2,2,IM,IM,1.36733333333333,0.0386133395869787,1048.29666666667,-3.55555555555556,2.21333333333333,0.230988215187606,7.0,2.82842712474619,101.333333333333
Au9Sn,2,IM,IM,1.4598,0.0365803534730786,1254.105,-3.6,2.482,0.174,10.3,2.1,203.8
AuSn,2,IM,IM,1.531,0.0581319399085565,921.205,-10.0,2.25,0.29,7.5,3.5,139.0
AuSn2,2,IM,IM,1.56066666666667,0.0537654878475889,782.496666666667,-8.88888888888889,2.15333333333333,0.273414622058798,6.33333333333333,3.29983164553722,112.0
AuSn4,2,IM,IM,1.5844,0.0449381469325928,671.53,-6.4,2.076,0.232,5.4,2.8,90.4
B4Co,2,IM,IM,0.9302,0.172436035261234,2232.8,-15.36,2.008,0.0640000000000001,4.2,2.4,215.2
BCo2,2,IM,IM,1.11733333333333,0.169182469723034,1961.66666666667,-21.3333333333333,1.93333333333333,0.0754247233265651,7.0,2.82842712474619,194.666666666667
BCr2,2,IM,IM,1.116,0.168539788347331,2236.33333333333,-27.5555555555556,1.78666666666667,0.179133717900592,5.0,1.4142135623731,181.333333333333
BNi2,2,IM,IM,1.114,0.167572881717458,1935.0,-21.3333333333333,1.95333333333333,0.0612825877028342,7.66666666666667,3.29983164553722,194.666666666667
BNi3,2,IM,IM,1.147,0.149496974672466,1883.25,-18.0,1.9425,0.0562916512459886,8.25,3.03108891324554,191.0
Be3Nb,2,IM,IM,1.19725,0.111756880254496,1857.5,-18.75,1.5775,0.0129903810567666,2.75,1.29903810567666,140.0
Be17Ti2,2,IM,IM,1.156,0.0907933686048575,1600.10526315789,-11.3019390581717,1.56684210526316,0.00920676614975575,2.21052631578947,0.613784409983716,127.894736842105
Be2Ti,2,IM,IM,1.234,0.130648578695732,1687.0,-26.6666666666667,1.56,0.014142135623731,2.66666666666667,0.942809041582063,123.333333333333
Bi2Mg3,2,IM,IM,1.6006,0.000306071441057479,771.68,-9.6,1.594,0.347827543475211,3.2,1.46969384566991,39.4
Bi3Pb7,2,IM,IM,1.74,0.0526732838500671,583.837,0.0,2.237,0.142059846543631,4.3,0.458257569495584,41.5
CaCu5,2,IM,IM,1.39433333333333,0.1865617318067,1317.30833333333,-7.22222222222222,1.75,0.335410196624968,9.5,3.35410196624968,119.5
CaZn13,2,IM,IM,1.4365,0.10416315901967,722.845714285714,-5.83673469387755,1.60357142857143,0.167400594932257,11.2857142857143,2.57539376818856,66.2142857142857
Cd10Cu3,2,IM,IM,1.50107692307692,0.0813977358186422,770.423846153846,4.2603550295858,1.73846153846154,0.0884782592892961,11.7692307692308,0.421325044234743,64.6153846153846
Cd3Cu4,2,IM,IM,1.40228571428571,0.102342040382024,1030.53428571429,5.87755102040816,1.81,0.103923048454133,11.4285714285714,0.494871659305394,98.0
