Al_frac,C_frac,Co_frac,Cr_frac,Cu_frac,Fe_frac,Hf_frac,Mn_frac,Mo_frac,Nb_frac,Ni_frac,Si_frac,Ta_frac,Ti_frac,V_frac,Zr_frac,mean_atomic_radius_pm,std_atomic_radius_pm,atomic_size_mismatch_pct,mean_atomic_mass_gmol,std_atomic_mass_gmol,mean_electronegativity,std_electronegativity,VEC_avg,mixing_entropy_J_per_molK,mixing_entropy_over_R,n_elements,temperature_C,processing_ANNEAL,processing_CAST,processing_OTHER,processing_WROUGHT,phase_BCC,phase_FCC,phase_other,source_MPEA_dataset,test_type_T,year,yield_strength_MPa,ys_log10
0.07063197026022305,0.0,0.1858736059479554,0.1858736059479554,0.0,0.1858736059479554,0.0,0.1858736059479554,0.0,0.0,0.1858736059479554,0.0,0.0,0.0,0.0,0.0,127.200743,4.563945,3.587986,54.025774,7.856284,1.754981,0.139246,7.64684,14.55888,1.751031,6,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2014,244.0,2.3873898263387296
0.07918968692449356,0.0,0.1841620626151013,0.1841620626151013,0.0,0.1841620626151013,0.0,0.1841620626151013,0.0,0.0,0.1841620626151013,0.0,0.0,0.0,0.0,0.0,127.346225,4.786974,3.759023,53.776748,8.235629,1.753646,0.139293,7.604052,14.623251,1.758773,6,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2014,285.0,2.45484486000851
0.08925318761384335,0.0,0.18214936247723132,0.18214936247723132,0.0,0.18214936247723132,0.0,0.18214936247723132,0.0,0.0,0.18214936247723132,0.0,0.0,0.0,0.0,0.0,127.517304,5.031248,3.945541,53.483903,8.651324,1.752077,0.139332,7.553734,14.688305,1.766597,6,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2014,331.0,2.519827993775719
0.10071942446043165,0.0,0.17985611510791366,0.17985611510791366,0.0,0.17985611510791366,0.0,0.17985611510791366,0.0,0.0,0.17985611510791366,0.0,0.0,0.0,0.0,0.0,127.71223,5.289115,4.141432,53.15024,9.090361,1.750288,0.139356,7.496403,14.749833,1.773997,6,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2014,526.0,2.7209857441537393
0.11032028469750889,0.0,0.17793594306049823,0.17793594306049823,0.0,0.17793594306049823,0.0,0.17793594306049823,0.0,0.0,0.17793594306049823,0.0,0.0,0.0,0.0,0.0,127.875445,5.490412,4.293563,52.870858,9.43321,1.74879,0.139358,7.448399,14.792,1.779069,6,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2014,833.0,2.9206450014067875
0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,126.0,1.414214,1.122392,56.081139,2.569366,1.766,0.138362,8.0,13.381611,1.609438,5,25.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2014,208.0,2.3180633349627615
0.0,0.0,0.0,0.0,0.0,0.0,0.12490622655663917,0.0,0.0,0.12490622655663917,0.0,0.0,0.12490622655663917,0.37509377344336087,0.0,0.2501875468867217,151.5015,6.344643,4.187842,97.278336,51.240199,1.459981,0.111689,4.249812,12.421324,1.493942,5,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2016,903.0,2.9556877503135057
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,153.0,6.519202,4.260917,102.621842,47.377134,1.4425,0.129687,4.25,11.526293,1.386294,4,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2014,879.0,2.9439888750737717
0.0,0.0,0.0,0.0,0.0,0.0,0.2753673897830651,0.0,0.0,0.049685094471658496,0.0,0.0,0.049685094471658496,0.34989503149055284,0.0,0.2753673897830651,153.784815,6.344734,4.125722,104.62534,54.546234,1.417078,0.114689,4.09937,11.440712,1.376001,5,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2016,540.0,2.7323937598229686
0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,151.6,6.468385,4.266744,118.28705,52.699802,1.454,0.118254,4.4,13.381611,1.609438,5,25.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2018,1900.0,3.278753600952829
