config_index,n_fe,n_v,composition,converged,energy_per_atom_original,energy_per_atom_corrected,correction_applied,gf_function,formation_energy_Jmol
241,3,5,Fe3V5,True,-8.84772891,-8.84772891,0.0,GF5V053,-119690.40738483728
242,3,5,Fe3V5,True,-8.847728925,-8.847728925,0.0,GF5V054,-119690.41896303686
243,2,6,Fe2V6,True,-8.88699517875,-8.88699517875,0.0,GF6V023,-83358.42174547481
244,3,5,Fe3V5,True,-8.84772890875,-8.84772890875,0.0,GF5V055,-119690.40641998651
245,2,6,Fe2V6,True,-8.88699497625,-8.88699497625,0.0,GF6V024,-83358.26543977423
246,2,6,Fe2V6,True,-8.92994901875,-8.92994901875,0.0,GF6V025,-116513.63176467415
247,1,7,Fe1V7,True,-8.91308018125,-8.91308018125,0.0,GF7V005,-36852.08031306292
248,3,5,Fe3V5,True,-8.84772933125,-8.84772933125,0.0,GF5V056,-119690.73253928608
249,2,6,Fe2V6,False,-8.92956803875,-8.9006931104,0.0288749283499996,GF6V026,-93931.58122747707
250,2,6,Fe2V6,True,-8.8869946875,-8.8869946875,0.0,GF6V027,-83358.0425594243
251,1,7,Fe1V7,True,-8.9130815525,-8.9130815525,0.0,GF7V006,-36853.13875351206
252,2,6,Fe2V6,True,-8.88699508125,-8.88699508125,0.0,GF6V028,-83358.34648717407
253,1,7,Fe1V7,True,-8.9130802175,-8.9130802175,0.0,GF7V007,-36852.10829371181
254,1,7,Fe1V7,True,-8.91308153875,-8.91308153875,0.0,GF7V008,-36853.12814016187
255,0,8,Fe0V8,True,-8.9516726475,-8.9516726475,0.0,GF8V001,0.0
