config_index,composition,n_v,x_V,sro_alpha,eta,y_V_A,y_V_B,dH_f_Jmol_corrected,dHf_deviation
217,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.63531998698,-6300.66295224597
218,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66395.60061458692,15997.37175315409
219,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89016.37257952418,-21628.116908000826
220,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.44568913666,15998.52667860435
221,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89016.21048472448,-21627.954813201126
222,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89016.04356567506,-21627.787894151712
223,Fe1V7,7,0.875,-0.1428571428571428,0.25,0.75,1.0,-74032.02509856291,-33862.44725339814
224,Fe5V3,3,0.375,-0.6000000000000001,0.75,0.75,0.0,-100138.42502806232,-21430.147103647687
225,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.83247749928,-12412.165655016273
226,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-88737.66456124953,-2816.9977387665276
227,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66396.00778128633,15996.964586454676
228,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98333.07947909912,-12412.412656616114
229,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.2980670861,15998.674300654908
230,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.65654668736,-6300.684178946351
231,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89019.30765322434,-21631.05198170099
232,Fe4V4,4,0.5,-0.25,0.5,0.75,0.25,-98332.93764614906,-12412.270823666055
233,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-88693.8852161364,-6300.912848395397
234,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.14369108703,15998.828676653982
235,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89018.08325857518,-21629.827587051826
236,Fe3V5,5,0.625,-0.06666666666666665,0.25,0.75,0.5,-66394.27201613736,15998.70035160365
237,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89020.82536227445,-21632.5696907511
238,Fe2V6,6,0.75,0.0,0.0,0.75,0.75,-89019.24590282471,-21630.99023130136
239,Fe1V7,7,0.875,-0.1428571428571428,0.25,0.75,1.0,-36853.79581636227,3315.782028802503
240,Fe4V4,4,0.5,-1.0,1.0,1.0,0.0,-96951.2907783001,-11030.623955817093
241,Fe3V5,5,0.625,-0.6000000000000001,0.75,1.0,0.25,-119690.40738483728,-37297.43501709627
242,Fe3V5,5,0.625,-0.6000000000000001,0.75,1.0,0.25,-119690.41896303686,-37297.446595295856
243,Fe2V6,6,0.75,-0.33333333333333326,0.5,1.0,0.5,-83358.42174547481,-15970.166073951463
244,Fe3V5,5,0.625,-0.6000000000000001,0.75,1.0,0.25,-119690.40641998652,-37297.43405224552
245,Fe2V6,6,0.75,-0.33333333333333326,0.5,1.0,0.5,-83358.26543977423,-15970.009768250879
246,Fe2V6,6,0.75,-0.33333333333333326,0.5,1.0,0.5,-116513.63176467417,-49125.376093150815
247,Fe1V7,7,0.875,-0.1428571428571428,0.25,1.0,0.75,-36852.08031306292,3317.49753210185
248,Fe3V5,5,0.625,-0.6000000000000001,0.75,1.0,0.25,-119690.73253928608,-37297.76017154507
249,Fe2V6,6,0.75,-0.33333333333333326,0.5,1.0,0.5,-93931.58122747709,-26543.325555953736
250,Fe2V6,6,0.75,-0.33333333333333326,0.5,1.0,0.5,-83358.0425594243,-15969.786887900947
251,Fe1V7,7,0.875,-0.1428571428571428,0.25,1.0,0.75,-36853.13875351206,3316.439091652712
252,Fe2V6,6,0.75,-0.33333333333333326,0.5,1.0,0.5,-83358.34648717407,-15970.090815650721
253,Fe1V7,7,0.875,-0.1428571428571428,0.25,1.0,0.75,-36852.10829371181,3317.4695514529594
254,Fe1V7,7,0.875,-0.1428571428571428,0.25,1.0,0.75,-36853.12814016187,3316.449705002902
255,Fe0V8,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0
