system,phase,e_above_eV,hmix_eV,delta_r_percent,vec,a_vegard_A,a_pred_q1_A,shift_A,shift_percent
Al-Co-Cr-Fe-Os,BCC,-0.038,-0.304,4.351456637944253,6.800000000000001,2.969105150494236,2.943622666263778,-0.02548248423045818,-0.85825469085244
Co-Cr-Mn-Os-Ru,BCC,-0.052,-0.282,3.312693299999688,7.6,2.929294832765591,2.9436252977301858,0.014330464964594558,0.4892121067603479
Co-Cu-Ir-Ni-Os,BCC,-0.027,-0.243,1.4925373134328312,9.4,2.9155094547594134,2.944034461011923,0.028525006252509755,0.9783883981560824
Cr-Fe-Mn-Ru-Zn,BCC,-0.033,-0.097,2.9197080291970807,8.200000000000001,2.959028168909465,2.944325296138148,-0.01470287277131721,-0.49688181159613226
Al-Fe-Mn-Ni-Os,BCC,-0.052,-0.407,4.351456637944253,7.2,2.9701635041699874,2.9443809526305897,-0.02578255153939768,-0.8680515905336538
Co-Cr-Fe-Mn-Nb,BCC,-0.03,0.049,2.258769757263124,7.0,2.9631795636408222,2.944488982653265,-0.01869058098755705,-0.6307609979798916
Co-Cu-Fe-Ir-Zn,BCC,-0.028,-0.139,1.4705882352941169,9.8,2.9475475164175333,2.9445149034864517,-0.003032612931081591,-0.10288597263284992
Al-Cr-Fe-Mn-Ru,BCC,-0.043,-0.265,4.6848557928420345,6.4,2.980120410130954,2.944539198722847,-0.035581211408107105,-1.1939521398916757
Fe-Mn-Ni-V-W,BCC,-0.025,-0.052,1.7879487173599815,7.2,2.9564218999934844,2.9448284447854185,-0.011593455208065873,-0.3921448155992696
Co-Fe-Ni-Ti-V,BCC,-0.044,-0.192,1.7879487173599815,7.2,2.9664862632096076,2.944835392138203,-0.02165087107140451,-0.7298490250879914
Co-Cu-Fe-Os-Ru,BCC,-0.017,-0.207,2.792281631920852,8.8,2.919441314267756,2.944922994215985,0.02548167994822892,0.872827270878714
Co-Cr-Fe-V-W,BCC,-0.034,0.03,1.7879487173599815,6.800000000000001,2.95535367955084,2.9450685820971727,-0.010285097453667458,-0.3480157899487213
Co-Cr-Mn-Os-Zn,BCC,-0.039,-0.151,2.7512186667455425,8.4,2.9544985468615166,2.9450958875801385,-0.009402659281378067,-0.3182489052623247
Al-Cr-Fe-Ni-Os,BCC,-0.038,-0.343,4.351456637944253,7.0,2.9671073424127195,2.945197722902803,-0.021909619509916656,-0.7384168141386058
Co-Fe-Mn-Os-Ru,BCC,-0.055,-0.303,3.312693299999688,8.0,2.925685426336541,2.945466805908588,0.019781379572047175,0.6761280414489691
Co-Cr-Mn-Pd-V,BCC,-0.023,-0.054,1.7749925672341786,7.4,2.94462873996434,2.9455039309096387,0.0008751909452988649,0.029721605763769855
Co-Fe-Mn-Re-Zn,BCC,-0.036,-0.056,1.7879487173599815,8.6,2.9621618003665753,2.945713918499573,-0.016447881867002412,-0.5552661527458407
Co-Mn-Ni-Os-Rh,BCC,-0.037,-0.252,2.3424278964210217,8.6,2.915493768761066,2.9457315176764736,0.030237748915407536,1.037139891684866
Co-Fe-Ni-Pd-Ru,BCC,-0.037,-0.091,2.751218666745544,9.0,2.917406216092262,2.945733406609992,0.028327190517730028,0.9709717611993389
Cr-Mn-Ni-Os-Ru,BCC,-0.058,-0.312,3.312693299999688,7.800000000000001,2.9272422964992706,2.94591422536638,0.018671928867109333,0.6378675550513653
Al-Co-Cr-Mn-Os,BCC,-0.052,-0.324,4.351456637944253,6.6000000000000005,2.9756548237264506,2.9459187850582467,-0.029736038668203957,-0.99931075442968
Co-Fe-Ir-Ni-Os,BCC,-0.049,-0.312,2.3424278964210146,8.8,2.914976036097198,2.946256904755906,0.03128086865870827,1.0731089474268745
Fe-Mn-Ni-Os-Ru,BCC,-0.051,-0.322,3.312693299999688,8.200000000000001,2.923627817187012,2.946433850215528,0.022806033028516026,0.7800593801456919
Co-Cr-Fe-Os-Rh,BCC,-0.047,-0.201,2.7512186667455425,8.0,2.9253894336235784,2.946518641677324,0.02112920805374552,0.722269924506205
Al-Cu-Fe-Ni-Os,BCC,-0.006,-0.324,3.83384925834044,8.0,2.9641055762904083,2.9465630808087986,-0.017542495481609688,-0.5918309935358038
Co-Cr-Fe-Re-Zn,BCC,-0.024,0.012,1.7879487173599815,8.4,2.9590890793287685,2.946607669463745,-0.01248140986502344,-0.42179905810252555
Co-Fe-Mn-Rh-Ru,BCC,-0.039,-0.186,2.751218666745544,8.200000000000001,2.9222076255868394,2.9467227833769747,0.024515157790135245,0.8389259399462451
Co-Fe-Mn-Pd-V,BCC,-0.038,-0.11,1.7749925672341786,7.800000000000001,2.9410568955308367,2.9467549844563,0.005698088925463196,0.19374290018400808
Co-Fe-Ni-Os-Re,BCC,-0.044,-0.235,2.3424278964210217,8.4,2.9236902115404595,2.9468555144661495,0.023165302925689968,0.7923309670173445
Al-Co-Cu-Fe-Os,BCC,-0.0,-0.279,3.83384925834044,7.800000000000001,2.9661074287079288,2.9471338611239264,-0.01897356758400237,-0.6396790419781754
Co-Fe-Mn-Ti-V,BCC,-0.042,-0.169,1.7749925672341786,6.6000000000000005,2.9855901555391013,2.9472779956468576,-0.03831215989224379,-1.2832357388760833
Cr-Fe-Mn-Ni-Ta,BCC,-0.034,-0.005,2.258769757263128,7.2,2.9617210590132053,2.9473238487404707,-0.01439721027273455,-0.486109595936474
Cr-Fe-Ni-Re-Zn,BCC,-0.015,-0.021,1.7879487173599815,8.6,2.957077709996629,2.9473260346924963,-0.009751675304132679,-0.3297740627906527
Co-Cr-Fe-Re-Ru,BCC,-0.048,-0.124,2.751218666745544,7.6,2.933964510641907,2.947412237740734,0.013447727098827134,0.458346617692556
Al-Co-Fe-Mn-Re,BCC,-0.047,-0.219,4.057204129667899,6.800000000000001,2.983209909968016,2.94741289764547,-0.03579701232254617,-1.1999494974502134
Cr-Fe-Ni-Re-Ru,BCC,-0.046,-0.138,2.751218666745544,7.800000000000001,2.9319185096222697,2.9474538365961784,0.015535326973908692,0.529868989295687
Cu-Fe-Ir-Ni-Ru,BCC,-0.034,-0.211,2.3424278964210146,9.2,2.9201607467646222,2.9475249945512596,0.027364247786637375,0.937080187005303
Fe-Mn-Ni-Re-Zn,BCC,-0.011,-0.091,1.7879487173599815,8.8,2.9601546059980497,2.947661683441257,-0.012492922556792685,-0.42203615079694645
Cu-Fe-Ni-Os-Rh,BCC,-0.03,-0.183,2.3424278964210217,9.2,2.920238924591938,2.9477725369279684,0.027533612336030355,0.942854781646943
Cr-Fe-Mn-V-W,BCC,-0.036,-0.005,1.7749925672341842,6.4,2.972609948674836,2.947947853322172,-0.024662095352663727,-0.8296445136926854
Cr-Mn-Ni-V-W,BCC,-0.04,-0.042,1.7879487173599815,6.800000000000001,2.9599567804743763,2.9479841586867206,-0.01197262178765568,-0.4044863717819857
Cr-Mn-Ni-Os-Zn,BCC,-0.04,-0.201,2.7512186667455425,8.6,2.9524809159619116,2.9480589396571726,-0.0044219763047390614,-0.14977154571373044
Cr-Fe-Ni-V-W,BCC,-0.039,0.01,1.7879487173599815,7.0,2.9533372172829067,2.9482691149889044,-0.00506810229400223,-0.17160594680295005
Co-Cu-Mn-Os-Zn,BCC,-0.004,-0.148,2.3424278964210217,9.4,2.95147106559861,2.9483208198712756,-0.0031502457273342444,-0.10673476572589471
Co-Fe-Ir-Mn-Zn,BCC,-0.031,-0.191,1.7879487173599815,9.0,2.953673485555394,2.9484072544674933,-0.005266231087900586,-0.1782942872207945
Cu-Mn-Ni-Os-Zn,BCC,-0.0,-0.203,2.3424278964210217,9.6,2.949449289135968,2.9491390503527315,-0.0003102387832365494,-0.010518532540270692
Fe-Mn-Ni-Pd-V,BCC,-0.026,-0.127,1.7749925672341786,8.0,2.939020760769335,2.9492070846136333,0.010186323844298517,0.34658904014111447
Cr-Mn-Ni-Pd-V,BCC,-0.023,-0.083,1.7749925672341786,7.6,2.9425975469991306,2.94927577460433,0.006678227605199538,0.22695008401709618
Co-Cr-Mn-Re-Ru,BCC,-0.044,-0.157,2.751218666745544,7.4,2.940671480358641,2.949406372469538,0.008734892110897174,0.2970373320936848
Cr-Fe-Mn-Rh-Ru,BCC,-0.036,-0.174,2.9197080291970705,7.6,2.9367344617456945,2.9498252656565653,0.013090803910870807,0.4457605575646492
Cr-Fe-Mn-Nb-Ni,BCC,-0.031,0.019,2.258769757263128,7.2,2.961173749258869,2.94986513619908,-0.011308613059788808,-0.3818963025259548
Cu-Fe-Mn-Ru-Zn,BCC,-0.018,-0.095,2.7512186667455425,9.2,2.9560099635703305,2.9498769566425658,-0.00613300692776475,-0.20747585438978616
Cr-Fe-Mn-Os-Ru,BCC,-0.057,-0.287,3.6021907982105543,7.4,2.940178001470717,2.949946255216446,0.009768253745729094,0.3322334137879707
Al-Cr-Mn-Ni-Os,BCC,-0.048,-0.377,4.351456637944253,6.800000000000001,2.9736658094880632,2.950036453938608,-0.023629355549455333,-0.794620413432513
Co-Cu-Fe-Os-Rh,BCC,-0.023,-0.166,2.3424278964210217,9.0,2.922301307106013,2.9504036477371387,0.0281023406311256,0.9616510303982191
Al-Co-Cr-Fe-Re,BCC,-0.034,-0.158,4.057204129667899,6.6000000000000005,2.9801804614225778,2.9504290300177973,-0.029751431404780426,-0.9983097262029124
Al-Fe-Mn-Ni-Re,BCC,-0.041,-0.257,4.057204129667899,7.0,2.981230967506065,2.9505143146739297,-0.030716652832135427,-1.03033455532066
Al-Co-Ni-Ru-V,BCC,-0.056,-0.43,3.0303030303030325,7.0,2.977776519557565,2.950694974631975,-0.027081544925589895,-0.9094552511823031
Co-Cu-Fe-Ir-Ru,BCC,-0.026,-0.183,2.3424278964210146,9.0,2.922223239590492,2.950726506437236,0.02850326684674398,0.9753966247540453
Co-Fe-Mn-Re-Ru,BCC,-0.043,-0.176,2.751218666745544,7.800000000000001,2.937089998608944,2.9507681304787465,0.013678131869802712,0.46570353228130257
Co-Cr-Mn-Os-Rh,BCC,-0.042,-0.229,2.7512186667455425,7.800000000000001,2.932135645115053,2.9507889191101615,0.01865327399510841,0.6361668167086615
Co-Ni-Os-V-Zn,BCC,-0.039,-0.291,1.4925373134328357,8.8,2.9628302610320887,2.9509390826099087,-0.011891178422180015,-0.40134524675867783
Co-Cr-Mn-Re-Zn,BCC,-0.031,-0.014,1.7879487173599815,8.200000000000001,2.9656830191480346,2.9514211931684446,-0.014261825979589915,-0.48089515593905163
Cr-Fe-Mn-Pd-V,BCC,-0.026,-0.064,1.4388489208633004,7.2,2.9553994762668885,2.951617255379056,-0.0037822208878326435,-0.1279766379538699
Co-Cu-Mn-Rh-Ru,BCC,-0.012,-0.123,2.3424278964210146,8.8,2.922738408131768,2.9516573579777927,0.0289189498460245,0.9894470803669927
Cr-Mn-Ni-Re-Ru,BCC,-0.047,-0.185,2.751218666745544,7.6,2.9386348112806178,2.9519896086127226,0.013354797332104873,0.45445583373747045
Co-Cu-Mn-Os-Ru,BCC,-0.006,-0.227,2.792281631920852,8.6,2.9262149480776047,2.951990286111825,0.025775338034220052,0.8808422652325428
Co-Fe-Ni-Pd-Rh,BCC,-0.014,-0.041,1.7879487173599815,9.2,2.920270194550871,2.952069068640476,0.03179887408960491,1.0889017786415989
Co-Fe-Mn-Pt-V,BCC,-0.037,-0.21,1.7879487173599815,7.800000000000001,2.9468874573224197,2.9521015318199466,0.005214074497526866,0.17693497200142289
Cu-Mn-Ni-Os-Ru,BCC,-0.019,-0.263,2.792281631920852,8.8,2.9241580843279023,2.9521322514680763,0.02797416714017409,0.9566571414214002
Co-Ni-Rh-Ru-V,BCC,-0.034,-0.288,1.4925373134328404,8.200000000000001,2.9343207190233613,2.9522756379955517,0.01795491897219037,0.6118935416905061
Cr-Fe-Mn-Os-Zn,BCC,-0.042,-0.147,2.9197080291970807,8.200000000000001,2.9651978308623352,2.952283471979364,-0.01291435888297121,-0.4355311051612186
Al-Cr-Fe-Ni-Re,BCC,-0.035,-0.195,4.057204129667899,6.800000000000001,2.978197489580227,2.9523000323156903,-0.025897457264536516,-0.869568165144976
Co-Fe-Mo-Ni-Os,BCC,-0.035,-0.127,3.721912053717359,8.200000000000001,2.9372136434304843,2.95257322566049,0.015359582230005664,0.5229303719312232
Al-Cr-Fe-Mn-Os,BCC,-0.053,-0.314,4.6848557928420345,6.4,2.986203314421567,2.9528203651390914,-0.03338294928247576,-1.1179061091137426
Co-Cr-Fe-Re-Rh,BCC,-0.043,-0.092,1.7879487173599815,7.800000000000001,2.9367963004275843,2.9528908329341506,0.016094532506566228,0.5480302635978851
Co-Fe-Ni-Ti-Zn,BCC,-0.038,-0.203,1.7879487173599815,8.6,2.9872944134713335,2.9529388156829537,-0.03435559778837982,-1.1500573105031686
Co-Fe-Ni-Os-Pd,BCC,-0.044,-0.15,2.751218666745544,9.0,2.9237526032309096,2.953176634149958,0.029424030919048327,1.0063789558163414
Co-Cr-Fe-Mo-Ru,BCC,-0.038,-0.015,3.6949416765165033,7.4,2.94739404068314,2.953193720646875,0.005799679963734761,0.19677314548653035
Co-Cr-Fe-Pd-Ru,BCC,-0.027,-0.031,2.919708029197076,8.200000000000001,2.9340264661388136,2.953583001846836,0.019556535708022516,0.6665425800933202
Co-Fe-Mn-Os-Rh,BCC,-0.048,-0.254,2.7512186667455425,8.200000000000001,2.928533242186423,2.953694423641179,0.025161181454755877,0.8591734965579803
Fe-Ni-Ru-V-Zn,BCC,-0.04,-0.247,2.3424278964210217,8.6,2.9673345015603108,2.953778227939365,-0.013556273620945802,-0.45685020053578457
Cr-Fe-Mo-Ni-Ru,BCC,-0.039,-0.036,3.694941676516508,7.6,2.9453666612732765,2.9539464234404,0.008579762167123306,0.29129691321400003
Co-Cr-Mn-Mo-Ru,BCC,-0.035,-0.047,3.6949416765165033,7.2,2.95404023636834,2.95402271023752,-1.752613081995591e-05,-0.0005932935714342983
Co-Fe-Ru-V-Zn,BCC,-0.041,-0.213,2.3424278964210217,8.4,2.969332004084649,2.954259322882784,-0.015072681201865112,-0.5076118528049726
Al-Co-Fe-Mn-Mo,BCC,-0.02,-0.123,4.9506058270987365,6.6000000000000005,2.996202602693429,2.954280232165764,-0.04192237052766501,-1.3991834360593303
Cr-Mn-Ni-Re-Zn,BCC,-0.018,-0.062,1.7879487173599815,8.4,2.963680593151109,2.954674288759073,-0.009006304392036313,-0.30388917121667397
Co-Cr-Mn-Pt-V,BCC,-0.022,-0.172,1.7879487173599815,7.4,2.9504452071534417,2.9548179855571886,0.004372778403746835,0.14820740927995898
Co-Cu-Fe-Re-Rh,BCC,-0.002,-0.048,1.4705882352941169,8.8,2.9337321542213077,2.955357612972986,0.021625458751678206,0.7371313267491589
Co-Fe-Mn-Mo-Ru,BCC,-0.032,-0.063,3.6949416765165033,7.6,2.950491156370984,2.9553717748789627,0.004880618507978607,0.16541715427412504
Cr-Fe-Mn-Re-Ru,BCC,-0.047,-0.154,2.9197080291970705,7.2,2.95147106559861,2.9555764678255563,0.004105402226946442,0.13909681429025952
Co-Ni-Os-Ru-V,BCC,-0.049,-0.419,1.8417216111151795,8.0,2.937769916347436,2.955660857481453,0.017890941134016902,0.608997356616032
Co-Cr-Fe-Os-Re,BCC,-0.054,-0.191,2.7512186667455425,7.6,2.9402396953909253,2.955768404315322,0.015528708924396728,0.528144319279115
Cu-Ir-Mn-Ni-Zn,BCC,-0.009,-0.214,1.4705882352941169,9.8,2.952174973654859,2.95578430451229,0.0036093308574312033,0.12226005875806104
Al-Cu-Mn-Ni-Os,BCC,-0.004,-0.346,3.83384925834044,7.800000000000001,2.9706772896372233,2.95595322974626,-0.014724059890963481,-0.4956465632374889
Cu-Fe-Ir-Ni-Os,BCC,-0.039,-0.261,2.3424278964210146,9.2,2.9264952055487656,2.9560907147007622,0.029595509151996602,1.0112953233575164
Co-Ni-Rh-Ru-Zn,BCC,-0.034,-0.254,1.4925373134328404,9.6,2.9555826489393504,2.956200722050335,0.0006180731109846072,0.0209120564165719
Co-Cu-Fe-Ir-Rh,BCC,-0.031,-0.139,1.4705882352941169,9.2,2.925077797623945,2.956307378482096,0.031229580858151085,1.0676495812699076
Cr-Fe-Ni-Os-Re,BCC,-0.052,-0.205,2.7512186667455425,7.800000000000001,2.9382024274620617,2.9564154583204316,0.018213030858369894,0.6198698458670122
Co-Cr-Fe-Ti-V,BCC,-0.026,-0.083,1.7749925672341786,6.4,2.982565542841296,2.9565843694821132,-0.02598117335918282,-0.8711015059347949
Al-Cr-Mn-Ni-Re,BCC,-0.043,-0.23,4.057204129667899,6.6000000000000005,2.9847073627265135,2.956617222389626,-0.028090140336887615,-0.9411354924667532
Co-Cr-Mn-Re-Rh,BCC,-0.039,-0.121,1.7879487173599815,7.6,2.9434903861516473,2.9566444041930238,0.013154018041376503,0.44688503496606335
Cu-Ni-Ru-V-Zn,BCC,-0.012,-0.201,1.4925373134328357,9.2,2.9678492669070713,2.957158656425955,-0.010690610481116192,-0.36021406478831575
Cr-Mn-Mo-Ni-Ru,BCC,-0.039,-0.083,3.694941676516508,7.4,2.952021978719202,2.9573075396508917,0.005285560931689748,0.1790488339786346
Cr-Fe-Mn-Os-Rh,BCC,-0.045,-0.244,2.9197080291970807,7.6,2.9429978522327542,2.957513027833199,0.014515175600444685,0.4932105400427835
Co-Cr-Mn-Os-Re,BCC,-0.052,-0.226,2.7512186667455425,7.4,2.9469181643024296,2.957585853225064,0.010667688922634255,0.36199474596402387
Co-Cr-Mn-Mo-Zn,BCC,-0.017,0.079,2.6918398465999576,8.0,2.978828721562161,2.9576213310110266,-0.02120739055113452,-0.7119372254478905
Cr-Mn-Ni-Pt-V,BCC,-0.032,-0.201,1.7879487173599815,7.6,2.948422023071154,2.9578695276331874,0.009447504562033249,0.32042579007032645
Co-Cu-Fe-Os-Re,BCC,-0.0,-0.129,2.3424278964210217,8.6,2.93718273320103,2.957927752225535,0.020745019024504874,0.7062896969265623
Al-Fe-Mn-Mo-Ni,BCC,-0.014,-0.169,4.950605827098737,6.800000000000001,2.9942408028093537,2.9580765509555884,-0.03616425185376526,-1.2077937024915988
Co-Fe-Mn-Os-Re,BCC,-0.049,-0.244,2.7512186667455425,7.800000000000001,2.94335187764753,2.958129715774404,0.014777838126874165,0.5020751422587412
Co-Cu-Fe-Pd-Ru,BCC,-0.006,-0.049,2.751218666745544,9.2,2.9309565227643564,2.958150101979659,0.027193579215302854,0.9278056158149696
Co-Ni-Re-V-Zn,BCC,-0.021,-0.16,0.0,8.6,2.9739522709358424,2.9582027723266853,-0.015749498609157087,-0.5295814180703391
Al-Co-Cr-Fe-Mo,BCC,-0.023,-0.066,4.9506058270987365,6.4,2.9931994104574313,2.9584456102818923,-0.034753800175538974,-1.161092042652373
Cr-Fe-Mn-Re-Zn,BCC,-0.034,-0.002,1.7749925672341842,8.0,2.976302186333935,2.9584521731126476,-0.01785001322128732,-0.5997379333069033
Co-Cu-Ru-V-Zn,BCC,-0.005,-0.148,1.4925373134328357,9.0,2.9698460772674773,2.9584564118656207,-0.011389665401856597,-0.3835102933124434
Cu-Ir-Mn-Ni-Ru,BCC,-0.001,-0.246,2.3424278964210146,9.0,2.9269310549515315,2.9584791617699033,0.031548106818371835,1.0778561649069747
Co-Cu-Fe-Ir-Os,BCC,-0.029,-0.233,2.3424278964210146,9.0,2.928548788811128,2.958669209471698,0.03012042066057008,1.0285101199491284
Cr-Fe-Mn-Pt-V,BCC,-0.038,-0.188,1.7749925672341842,7.2,2.961173749258869,2.9587046806701958,-0.002469068588673018,-0.08338141553804411
Co-Cr-Fe-Mo-Rh,BCC,-0.027,0.002,2.6918398465999576,7.6,2.9502001204851225,2.9588049822085676,0.0086048617234451,0.29167044173363205
Co-Cr-Mn-Ru-W,BCC,-0.038,-0.04,2.7512186667455425,7.2,2.958114211546871,2.958896979157248,0.0007827676103770997,0.026461710211242023
Al-Cr-Fe-Mn-Re,BCC,-0.044,-0.161,4.287464628562723,6.2,2.99715285433087,2.9589611266989198,-0.03819172763195011,-1.2742669289210014
Co-Cr-Fe-Ru-W,BCC,-0.04,-0.007,2.7512186667455425,7.4,2.9514863715180923,2.958993983159558,0.00750761164146585,0.25436714578506836
Co-Fe-Ir-Ni-Pd,BCC,-0.026,-0.115,1.7879487173599815,9.2,2.926526341954489,2.959065994856235,0.032539652901745875,1.1118865542147887
Co-Fe-Mn-Re-Rh,BCC,-0.038,-0.143,1.7879487173599815,8.0,2.9399157734212014,2.9590685303167636,0.019152756895562284,0.6514729798967703
Cu-Mn-Ni-Os-Rh,BCC,-0.013,-0.213,2.3424278964210217,9.0,2.9270088715440132,2.959122542989315,0.03211367144530186,1.0971497817279154
Co-Cu-Mn-Os-Rh,BCC,-0.019,-0.182,2.3424278964210217,8.8,2.9290617348532244,2.959208559842203,0.030146824988978693,1.0292314644740443
Co-Mn-Ru-V-Zn,BCC,-0.041,-0.232,2.3424278964210217,8.200000000000001,2.975880679880922,2.959356259819842,-0.01652442006107968,-0.5552783138382046
Cr-Mn-Ni-Ti-V,BCC,-0.037,-0.153,1.7749925672341786,6.4,2.987085223369468,2.9594161886531722,-0.02766903471629556,-0.9262887613592945
Al-Co-Ni-Os-V,BCC,-0.058,-0.477,3.0303030303030325,7.0,2.983868974354017,2.9595847318689836,-0.02428424248503358,-0.8138508323841839
Co-Ni-Os-Ru-Zn,BCC,-0.051,-0.336,1.8417216111151795,9.4,2.9589824844492996,2.9596492745986707,0.0006667901493710993,0.02253444056784258
Fe-Ni-Rh-V-Zn,BCC,-0.033,-0.227,1.4705882352941169,8.8,2.970103047133746,2.9597537263649842,-0.010349320768761938,-0.3484498889272342
Cr-Fe-Ni-Ru-W,BCC,-0.04,-0.025,2.7512186667455425,7.6,2.949464616046157,2.959952761912915,0.010488145866757836,0.35559490389199855
Co-Fe-Mn-Ru-W,BCC,-0.029,-0.054,2.7512186667455425,7.6,2.9545749181210983,2.959995403020126,0.005420484899027578,0.1834607362900997
Co-Cr-Ru-V-Zn,BCC,-0.025,-0.153,2.3424278964210217,8.0,2.972836267707023,2.960091970177688,-0.012744297529334592,-0.4286915383726932
Cu-Fe-Mn-Os-Ru,BCC,-0.01,-0.223,3.312693299999688,8.4,2.937120910790294,2.9603766376009215,0.023255726810627486,0.7917864983083057
Co-Fe-Rh-V-Zn,BCC,-0.036,-0.198,1.4705882352941169,8.6,2.972096831244452,2.9604600012273323,-0.011636830017119681,-0.39153603256752584
Co-Ir-Ni-Ru-V,BCC,-0.039,-0.385,1.4925373134328404,8.200000000000001,2.9405172859982573,2.960544012069996,0.020026726071738832,0.681061327784036
Co-Ni-Os-Rh-V,BCC,-0.042,-0.355,1.4925373134328357,8.200000000000001,2.940594385199801,2.960593218364376,0.01999883316457529,0.6800949245237866
Cr-Fe-Mn-Mo-Ru,BCC,-0.041,-0.046,3.5244456730693168,7.0,2.96474282259487,2.9606310748249696,-0.004111747769900642,-0.1386881768821305
Cr-Mn-Ni-Os-Re,BCC,-0.054,-0.254,2.7512186667455425,7.6,2.9448901293896563,2.960758753097673,0.01586862370801656,0.5388528267879866
Co-Fe-Ir-Mn-Os,BCC,-0.034,-0.333,2.751218666745544,8.200000000000001,2.934754247315431,2.960875295718382,0.02612104840295082,0.8900591395972958
Cr-Ni-Ru-V-Zn,BCC,-0.024,-0.2,2.3424278964210217,8.200000000000001,2.970843476302877,2.960920082128913,-0.009923394173964262,-0.3340261529467591
Al-Cr-Fe-Mo-Ni,BCC,-0.022,-0.11,4.950605827098737,6.6000000000000005,2.991233668018237,2.9610143699624776,-0.030219298055759403,-1.0102620326475664
Co-Fe-Ni-Os-Ti,BCC,-0.054,-0.379,2.751218666745544,7.800000000000001,2.9688026251059245,2.9610753121043296,-0.007727313001594904,-0.26028382406591277
Co-Cr-Fe-Os-Pd,BCC,-0.036,-0.092,2.9197080291970807,8.200000000000001,2.9403013867222425,2.961111998044879,0.020810611322636507,0.7077713671330658
Al-Co-Fe-Ru-V,BCC,-0.056,-0.389,3.833849258340441,6.6000000000000005,2.9902796500593523,2.9611367629880636,-0.029142887071288648,-0.9745873457256818
Co-Cr-Fe-Mo-Os,BCC,-0.045,-0.081,3.6949416765165033,7.4,2.953612351564503,2.9612098318655935,0.007597480301090531,0.2572267243217009
Mn-Ni-Ru-V-Zn,BCC,-0.041,-0.281,2.3424278964210217,8.4,2.9738919678487217,2.9614023621119414,-0.012489605736780263,-0.41997509902200975
Cr-Mn-Mo-Ni-Zn,BCC,-0.009,0.024,2.691839846599948,8.200000000000001,2.9768439478360187,2.9615684331394663,-0.015275514696552417,-0.5131446244488822
Co-Cr-Mn-Pd-Ru,BCC,-0.023,-0.068,2.919708029197076,8.0,2.940733153575323,2.9616623869167396,0.02092923334141661,0.7117012067542066
Al-Fe-Ni-Ru-V,BCC,-0.059,-0.427,3.83384925834044,6.800000000000001,2.9883100631806796,2.961804994379701,-0.02650506880097847,-0.8869584561371507
Co-Cr-Mn-Mo-Os,BCC,-0.044,-0.115,3.6949416765165033,7.2,2.960230685697841,2.961869381352703,0.0016386956548619658,0.055357025477075675
Co-Fe-Os-V-Zn,BCC,-0.044,-0.26,2.3424278964210217,8.4,2.9754590539889545,2.962122628258746,-0.013336425730208656,-0.4482140566622687
Fe-Ni-Os-V-Zn,BCC,-0.043,-0.294,2.3424278964210217,8.6,2.973469777745651,2.962247391520142,-0.011222386225508973,-0.3774171948711473
Cr-Ni-Rh-Ru-V,BCC,-0.048,-0.283,2.3424278964210217,7.6,2.948728744600417,2.9622665855753887,0.013537840974971793,0.45910770869520284
Co-Cr-Rh-Ru-V,BCC,-0.036,-0.26,2.3424278964210217,7.4,2.950751508241254,2.9623360623402624,0.011584554099008493,0.39259673566729014
Co-Ni-Re-Ru-V,BCC,-0.044,-0.3,1.4925373134328404,7.800000000000001,2.9490813954933306,2.962355711810596,0.013274316317265278,0.4501169868539594
Cr-Mn-Ni-Ru-W,BCC,-0.041,-0.072,2.7512186667455425,7.4,2.9561015149196077,2.962379693532534,0.006278178612926233,0.21238034557473479
Co-Fe-Mn-Mo-Os,BCC,-0.037,-0.13,3.6949416765165033,7.6,2.956696460513273,2.962403268904524,0.005706808391251261,0.19301299499173405
Cr-Fe-Mo-Ni-Os,BCC,-0.046,-0.102,3.694941676516508,7.6,2.9515935085098044,2.9625616452329786,0.010968136723174204,0.37160051651935566
Al-Cu-Fe-Mn-Os,BCC,-0.0,-0.268,4.351456637944253,7.4,2.983239873757975,2.9629479588420327,-0.0202919149159424,-0.6801972276664684
Cr-Fe-Mn-Re-Rh,BCC,-0.039,-0.127,1.7749925672341842,7.4,2.954269409389924,2.963216459443397,0.00894705005347296,0.3028515281996771
